project_id,project_name,finance_type,sector,province,district,latitude,longitude,status,approval_date,construction_start_date,financial_close_date,operation_date,committed_usd,disbursed_usd,year
98566,"Bank of China provides IDR 1,000,000,000,000 loan to PT SMI to support the financing of infrastructure investment projects",DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Pipeline: Commitment,2019-12-18,,,,70553036.7658915,70553036.7658915,2019
61050,"Bank of China contributes $150 million to $1.62 billion syndicated loan to PLN for 35,000MW electricity program (Linked to Project ID#92462)",DF,ENERGY,,,,,Implementation,2018-10-25,,,2019-12-31,150000000.0,150000000.0,2018
61152,Chinese Government pledges preferential buyer’s credit for Jenelata Dam in Indonesia,DF,ENERGY,,,,,Pipeline: Pledge,2018-01-01,,,,235000000.0,235000000.0,2018
61153,Chinese Government pledges preferential buyer’s credit for Riam Kiwa Dam Project in Indonesia.,DF,ENERGY,,,,,Pipeline: Pledge,2018-01-01,,,,,,2018
61397,"China Eximbank provides $130.3 million preferential buyer's credit for Phase 3 of Cileunyi-Sumedang-Dawuan Toll Road Project (Linked to Project ID#61325, #39363)",DF,TRANSPORT AND STORAGE,,,,,Implementation,2018-05-07,2012-11-29,,2022-06-01,130387425.76,130387425.76,2018
61419,ICBC contributes Rp 366 billion to syndicated loan for Cikopo-Palimanan toll road,DF,TRANSPORT AND STORAGE,,,,,Pipeline: Commitment,2018-09-17,,,,25712410.6894255,25712410.6894255,2018
61429,ICBC contributed IDR 400 billion in an IDR 4.5 trillion syndicated loan for Pekanbaru-Dumai Toll Road Project in Indonesia,DF,TRANSPORT AND STORAGE,,,,,Completion,2018-01-01,2013-01-01,,2020-09-22,28100995.2889896,28100995.2889896,2018
61434,ICBC contributed Rp400B to syndicated financing of Semanan – Sunter – Pulogebang Toll Road in Indonesia,DF,TRANSPORT AND STORAGE,,,,,Implementation,2018-11-28,2017-02-01,,2022-01-01,28100995.2889896,28100995.2889896,2018
62273,ICBC provides $80 million loan for Taliabu Island Iron Ore Project,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2018-01-01,2016-01-18,,2017-11-28,80000000.0,80000000.0,2018
66263,ICBC provides $26.3 million loan for the Diamond Tower Project,DF,OTHER MULTISECTOR,,,,,Implementation,2018-01-01,2019-12-09,,,26300000.0,26300000.0,2018
66401,ICBC provides $20 million working capital loan to joint venture PT Ritel Bersama Nasional,DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-01-01,2018-01-01,,2018-12-31,20000000.0,20000000.0,2018
66403,ICBC provides Rp500B working capital loan to PT Bahari Makmur Sejati for seafood processing,DF,"INDUSTRY, MINING, CONSTRUCTION",,,,,Completion,2018-01-01,2018-01-01,,2018-12-31,35126244.111237,35126244.111237,2018
66455,"Bank of China contributes $10.42 million to syndicated loan with PT Solusi Tunas Pratama for unspecified purposes (Linked to Project ID#89256, 71241, 89257, 89258, 89259, 89260, 8926)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,10420000.0,10420000.0,2018
67563,ICBC contributed IDR 400B to syndicated loan for Balikpapan-Samarinda Toll Road (Linked to ID #61324),DF,TRANSPORT AND STORAGE,,,,,Completion,2018-12-28,2011-01-12,,2021-08-24,28100995.2889896,28100995.2889896,2018
69371,Export-Import Bank of China provides overseas investment loan to support projects in Morowali Industrial Park in Indonesia (Linked to ID #85817 and #61986),DF,BUSINESS AND OTHER SERVICES,,,,,Implementation,2018-01-01,,,,,,2018
71241,"China Construction Bank contributes $10.42 million to $297 million syndicated loan to PT Solusi Tunas Pratama (Linked to Project ID#66455, 89256, 89257, 89258, 89259, 89260, 89261)",DF,BUSINESS AND OTHER SERVICES,,,,,Completion,2018-02-27,2018-02-27,,2018-02-27,20430000.0,20430000.0,2018
85608,China Eximbank provides $1.26 billion loan for 1240MW Bangko Tengah (SS-8) Mine Mouth Power Plant Construction Project (Linked to Project ID#69235),DF,ENERGY,,,,,Implementation,2018-05-24,2018-06-01,,2022-03-01,1260000000.0,1260000000.0,2018
86560,"ICBC reschedules debt for Kota Ayodhya, Paddington Heights Apartment, and Prominence Office Tower project (2018) (Linked to Project ID#66251 and #86572)",DF,OTHER MULTISECTOR,,,,,Completion,2018-02-06,2013-05-01,,2018-12-31,,,2018
89198,Chinese Embassy in Indonesia donates 40 books to Bandung Institute of Technology,DF,EDUCATION,,,,,Completion,2018-12-07,2018-12-07,,2018-12-07,,,2018
89206,Chinese Embassy donates 400 million Rupiah to the Tsunami affected regions in Indonesia,DF,EMERGENCY RESPONSE,,,,,Completion,2018-12-27,2018-12-27,,2018-12-27,28100.9952889896,28100.9952889896,2018
