"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","DV_TYPE","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:DIP(12.0.0)","CHN.O.OTWD_D_NETAL_FALL_ALL.IDN.A","OBS_VALUE","China, People's Republic of","Reported official data","Outward Direct investment, Net (assets less liabilities), All financial instruments, All entities","Indonesia","Annual","Millions","","","","","","","","","","8835.02756624","10669.79439801","17938.83093799","20080.4791095","24722.06437051","26346.2580743"
"IMF.STA:DIP(12.0.0)","CHN.SCC.OTWD_D_NETAL_FALL_ALL.IDN.A","OBS_VALUE","China, People's Republic of","Derived using counterparty information","Outward Direct investment, Net (assets less liabilities), All financial instruments, All entities","Indonesia","Annual","Millions","3450.04760761042","3378.97354955408","5112.16209841583","4772.26839439526","2336.94616236314","4540.45972930265","4817.2768222295","4848.03898944843","5586.26533986983","6249.36509072123","7294.76963265638","8003.32227218615","13280.8679800609","17129.3133634468","19799.5784436662"
